,0,1
0,val_loss,"[1.076450700750418, 0.9997933336620534, 0.987083708041195, 0.9263505714855205, 0.9003146137866674, 0.9053333538451077, 0.8785539394166199, 0.844717980700939, 0.8541757142335031, 0.8409247167877911, 0.834887595141401, 1.663348416684659, 0.8181507262345965, 0.8330696301676345, 0.8108311012605184, 0.8061788367394356, 0.8003545919896291, 0.817283086202962, 0.8050269542844056, 0.808415432541481, 0.811426220903932, 0.8018998337859474, 0.7886289172836279, 0.8219062990500062, 0.7792415473731895, 0.9098873389372005, 0.7809165704119053, 0.7992636623161324, 0.7773978017064763, 0.7752455136560322, 0.780676162916522, 0.7767082461059943, 0.7886496382965725, 0.8233886859567184, 0.7952607889901991, 0.7730674977486778, 0.7828889911431745, 0.7685554600790705, 0.7793529096181738, 0.7676148891857889, 0.7843536863819446, 0.776975897389815, 0.7829112204258828, 0.8355963075498872, 0.7854498963339661, 0.7600585348792488, 0.7485944154374886, 0.7463679336688002, 0.7474674941249909, 0.758303141223758]"
1,val_accuracy,"[0.5654450058937073, 0.5934284329414368, 0.5818740129470825, 0.604982852935791, 0.5952337980270386, 0.6103990077972412, 0.6297165751457214, 0.6280916929244995, 0.6284527778625488, 0.6656436324119568, 0.6620328426361084, 0.6091352105140686, 0.6669073700904846, 0.6622133851051331, 0.6687127351760864, 0.6676295399665833, 0.6732262372970581, 0.6665462851524353, 0.6701570749282837, 0.6723235249519348, 0.6661852598190308, 0.6726846098899841, 0.6759342551231384, 0.6470481753349304, 0.6791839599609375, 0.6356742978096008, 0.6831557750701904, 0.6743094325065613, 0.6775591373443604, 0.6788228750228882, 0.6766564249992371, 0.678281307220459, 0.6706987023353577, 0.648853600025177, 0.6663657426834106, 0.6791839599609375, 0.6818920373916626, 0.6826142072677612, 0.6808087825775146, 0.6817114949226379, 0.6808087825775146, 0.6764758825302124, 0.6634771823883057, 0.6356742978096008, 0.6719624400138855, 0.6887524724006653, 0.6901968121528625, 0.6871276497840881, 0.6822531223297119, 0.6929048299789429]"
2,loss,"[1.3616858065464619, 1.1171732433115056, 1.0702882644689478, 1.0356745251089745, 1.008729521777877, 0.978963699345663, 0.959961015046571, 0.9498591117034564, 0.9337480263068643, 0.9255000783046032, 0.9229571457184671, 0.9076062740442365, 0.9033132470533827, 0.9021080503773673, 0.8888733325761103, 0.88291761018546, 0.8824849832302775, 0.8734795019255888, 0.8760211055474098, 0.8749680992766552, 0.8606024264562913, 0.860833338280344, 0.8615692133183567, 0.8556046202230658, 0.8540833824295891, 0.8418863683784286, 0.8429509042698115, 0.8514179487121856, 0.8453520598408332, 0.8368202659756087, 0.8344128578033654, 0.8400246837369961, 0.8346923261349531, 0.825677427506237, 0.8316703915784333, 0.8283784331707189, 0.8172834293967686, 0.8181193653091409, 0.8131669535886566, 0.8161710148510344, 0.8047513952133646, 0.8176697519610574, 0.803066007301625, 0.8064154732929506, 0.8051183139731722, 0.7961335257412052, 0.7993308695975234, 0.7950321878712432, 0.7907939293104218, 0.790644905597301]"
3,accuracy,"[0.48562402, 0.5605507, 0.5713834, 0.5760325, 0.57923716, 0.58334464, 0.5916949, 0.59914243, 0.6047845, 0.60501015, 0.61489505, 0.6189122, 0.6259535, 0.6273076, 0.62983525, 0.6364703, 0.6353419, 0.64333105, 0.63994586, 0.64640033, 0.6466712, 0.6491085, 0.64748365, 0.6490183, 0.65290004, 0.65290004, 0.65470546, 0.65339655, 0.6534868, 0.658497, 0.65822613, 0.6590386, 0.65524715, 0.6595351, 0.65962535, 0.66206276, 0.663146, 0.66292036, 0.66454524, 0.6627398, 0.66477096, 0.66598964, 0.66901374, 0.6655834, 0.6636425, 0.66784024, 0.66562855, 0.66919434, 0.6697811, 0.6703227]"
