loss,accuracy,val_loss,val_accuracy,epoch
1.1298131550160466,0.5455498099327087,0.8799412998614435,0.5707753896713257,0
0.750601680482501,0.7210808992385864,0.6778137402480887,0.7652886509895325,1
0.6089681029216615,0.7950655817985535,0.5323378925188129,0.8536863923072815,2
0.5091088129417397,0.826755166053772,0.4985217396294101,0.7884358763694763,3
0.4512605854040011,0.8308195471763611,0.39792078933299757,0.8750238418579102,4
0.4141719048270326,0.8467278480529785,0.4101560386981844,0.831015408039093,5
0.3794513683630922,0.8595560789108276,0.3596965531935849,0.8628309965133667,6
0.34758228285210524,0.873622715473175,0.3853511362785293,0.8313964605331421,7
0.32612901212471246,0.8779729008674622,0.360694944143159,0.8412078619003296,8
0.3361601747445379,0.8720985651016235,0.8502839006033596,0.712040364742279,9
0.31994926409709945,0.878322184085846,0.2645159044886208,0.9117926955223083,10
0.2899557806368581,0.888006865978241,0.25340987910859175,0.9190322160720825,11
0.2887180540076065,0.8903883695602417,0.275339738031323,0.9234139919281006,12
0.2606523404102463,0.9040738940238953,0.293518350695083,0.8815012574195862,13
0.25542006369799375,0.9029625654220581,0.2595464335688865,0.8750238418579102,14
0.2523540134156333,0.904613733291626,0.3261383649200956,0.8596875667572021,15
0.27588593060808375,0.8838154673576355,0.2142281656288878,0.9311297535896301,16
0.27018266286028725,0.8890864849090576,0.8423134501584145,0.7192798852920532,17
0.25093217284521524,0.8994697332382202,0.269050692686991,0.8768336772918701,18
0.22687525057525423,0.9152827858924866,0.43576255708132317,0.8166317343711853,19
0.25645189604016394,0.8898802995681763,0.19105529536472363,0.931034505367279,20
0.23667416497187288,0.9011843800544739,0.19009051942489197,0.9341779351234436,21
0.22850564016407823,0.9072175025939941,0.18433483552196908,0.9417984485626221,22
0.20582874344747415,0.9195694327354431,0.17634956314123615,0.9465612769126892,23
0.2024401133411652,0.919093132019043,0.19250150370947586,0.9257001280784607,24
