mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout_rate,param_init_mode,param_learn_rate,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
2803.5356818437576,0.8755697011947632,62.49254071712494,0.03255045413970947,0.1,glorot_uniform,0.001,"{'dropout_rate': 0.1, 'init_mode': 'glorot_uniform', 'learn_rate': 0.001}",0.6736775636672974,0.6727453470230103,0.6732114553451538,0.0004661083221435547,6
2818.859402179718,15.864181995391846,59.000813722610474,3.5321083068847656,0.1,glorot_uniform,0.0001,"{'dropout_rate': 0.1, 'init_mode': 'glorot_uniform', 'learn_rate': 0.0001}",0.6701570749282837,0.674821674823761,0.6724893748760223,0.0023322999477386475,8
2750.2095707654953,2.5574694871902466,60.11872601509094,0.9648561477661133,0.1,glorot_normal,0.001,"{'dropout_rate': 0.1, 'init_mode': 'glorot_normal', 'learn_rate': 0.001}",0.6741288900375366,0.6773494482040405,0.6757391691207886,0.0016102790832519531,5
2751.8679914474487,10.1707763671875,58.71763241291046,3.458396315574646,0.1,glorot_normal,0.0001,"{'dropout_rate': 0.1, 'init_mode': 'glorot_normal', 'learn_rate': 0.0001}",0.6788228750228882,0.6750022768974304,0.6769125759601593,0.0019102990627288818,3
2732.2114449739456,2.7206770181655884,60.48675239086151,0.6686078310012817,0.2,glorot_uniform,0.001,"{'dropout_rate': 0.2, 'init_mode': 'glorot_uniform', 'learn_rate': 0.001}",0.6764758825302124,0.6820438504219055,0.679259866476059,0.0027839839458465576,2
2744.8177708387375,7.334338307380676,56.0848662853241,1.8945090770721436,0.2,glorot_uniform,0.0001,"{'dropout_rate': 0.2, 'init_mode': 'glorot_uniform', 'learn_rate': 0.0001}",0.6737678050994873,0.67057865858078,0.6721732318401337,0.0015945732593536377,9
2740.7378894090652,4.8140846490859985,61.537670373916626,1.6310579776763916,0.2,glorot_normal,0.001,"{'dropout_rate': 0.2, 'init_mode': 'glorot_normal', 'learn_rate': 0.001}",0.6744899749755859,0.6770786046981812,0.6757842898368835,0.0012943148612976074,4
2746.3465051651,4.013481378555298,58.43129098415375,1.0789116621017456,0.2,glorot_normal,0.0001,"{'dropout_rate': 0.2, 'init_mode': 'glorot_normal', 'learn_rate': 0.0001}",0.6785520911216736,0.6800577640533447,0.6793049275875092,0.0007528364658355713,1
2571.9234813451767,0.6933697462081909,61.61844885349274,1.0266193151474,4,glorot_uniform,0.001,"{'dropout_rate': 4, 'init_mode': 'glorot_uniform', 'learn_rate': 0.001}",0.6538183689117432,0.674370288848877,0.6640943288803101,0.010275959968566895,12
2579.1227309703827,3.6615538597106934,58.817758083343506,0.5883498191833496,4,glorot_uniform,0.0001,"{'dropout_rate': 4, 'init_mode': 'glorot_uniform', 'learn_rate': 0.0001}",0.6727748513221741,0.6699467301368713,0.6713607907295227,0.0014140605926513672,10
2574.6313642263412,0.11314618587493896,60.56593465805054,1.7796425819396973,4,glorot_normal,0.001,"{'dropout_rate': 4, 'init_mode': 'glorot_normal', 'learn_rate': 0.001}",0.6786423325538635,0.6512593626976013,0.6649508476257324,0.013691484928131104,11
2573.0776292085648,2.093352437019348,39.32528638839722,21.110700130462646,4,glorot_normal,0.0001,"{'dropout_rate': 4, 'init_mode': 'glorot_normal', 'learn_rate': 0.0001}",0.6740386486053467,0.6718425750732422,0.6729406118392944,0.001098036766052246,7
