,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_conv,param_dropout_rate,param_kernel,param_pool,param_stride,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,113.66522657871246,2.453410029411316,2.7587870359420776,0.25300729274749756,1,0.4,3,2,1,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 2, 'stride': 1}",0.6253836154937744,0.6398844718933105,0.6326340436935425,0.007250428199768066,28
1,98.69124150276184,13.231040239334106,2.4976640939712524,0.1298593282699585,1,0.4,3,2,2,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 2, 'stride': 2}",0.6500270962715149,0.6500857472419739,0.6500564217567444,2.9325485229492188e-05,22
2,100.96577680110931,4.127341389656067,2.6356018781661987,0.027366995811462402,1,0.4,3,4,1,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 4, 'stride': 1}",0.6514713764190674,0.6544190645217896,0.6529452204704285,0.001473844051361084,20
3,102.58134889602661,1.3852152824401855,2.7750717401504517,0.1853421926498413,1,0.4,3,4,2,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 4, 'stride': 2}",0.6487632989883423,0.6558635234832764,0.6523134112358093,0.003550112247467041,21
4,102.53840792179108,2.8084555864334106,2.869664192199707,0.04618525505065918,1,0.4,5,2,1,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 2, 'stride': 1}",0.6708792448043823,0.6678703427314758,0.6693747937679291,0.001504451036453247,3
5,105.36457872390747,0.07567548751831055,3.0012712478637695,0.10048198699951172,1,0.4,5,2,2,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 2, 'stride': 2}",0.6574291586875916,0.5988083481788635,0.6281187534332275,0.029310405254364014,30
6,116.4917722940445,0.02085888385772705,2.79999041557312,0.16986560821533203,1,0.4,5,4,1,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 4, 'stride': 1}",0.6613107323646545,0.6590232253074646,0.6601669788360596,0.0011437535285949707,14
7,106.12823605537415,2.430081844329834,2.738725423812866,0.15598106384277344,1,0.4,5,4,2,"{'conv': 1, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 4, 'stride': 2}",0.6568875312805176,0.6641690135002136,0.6605282723903656,0.0036407411098480225,12
8,98.64323854446411,2.451167345046997,2.522270441055298,0.04943227767944336,1,0.6,3,2,1,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 2, 'stride': 1}",0.6517422199249268,0.6103638410568237,0.6310530304908752,0.020689189434051514,29
9,97.64784753322601,2.5223861932754517,2.729473114013672,0.13365912437438965,1,0.6,3,2,2,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 2, 'stride': 2}",0.6532767415046692,0.6335650682449341,0.6434209048748016,0.009855836629867554,26
10,97.49059975147247,5.532651782035828,2.539788007736206,0.04490232467651367,1,0.6,3,4,1,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 4, 'stride': 1}",0.6447914838790894,0.6103638410568237,0.6275776624679565,0.017213821411132812,31
11,103.82549178600311,2.228800892829895,2.547939658164978,0.3292132616043091,1,0.6,3,4,2,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 4, 'stride': 2}",0.6436179876327515,0.6544190645217896,0.6490185260772705,0.005400538444519043,23
