mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
425.3910725593567,22.984274866927013,0.7182796001434326,0.005997148645873205,70000,90,"{'C': 70000, 'gamma': 90}",0.9642857142857143,0.9582539682539682,0.9614163226421086,0.9604636392505558,0.9629982531364142,0.9614835042707903,0.0020796522439621755,22
305.77652530670167,46.44632166266685,0.5858343601226806,0.016779487419703053,80000,50,"{'C': 80000, 'gamma': 50}",0.9658730158730159,0.9638095238095238,0.961892664337885,0.9633216894252143,0.9652215340638399,0.9640237513098149,0.001409588964516055,6
317.8356060504913,17.701147927386852,0.6658199787139892,0.0971805321402241,80000,60,"{'C': 80000, 'gamma': 60}",0.9666666666666667,0.9625396825396826,0.9612575420768498,0.9637980311209908,0.9664919803080833,0.9641507636617661,0.002140167250822833,3
371.03049383163454,28.098046238436492,0.6620306015014649,0.023546111029470296,80000,70,"{'C': 80000, 'gamma': 70}",0.9650793650793651,0.9604761904761905,0.9612575420768498,0.9637980311209908,0.9644275051611879,0.9630076524942051,0.0018113737555999075,15
426.16910271644593,51.58234339375605,0.6971359729766846,0.021667812087042358,80000,80,"{'C': 80000, 'gamma': 80}",0.9642857142857143,0.96,0.9609399809463322,0.9603048586852969,0.9634746704780054,0.9618010351506684,0.0017435291446286278,18
428.76654930114745,46.864281251828785,0.7711385726928711,0.1053031149678312,80000,90,"{'C': 80000, 'gamma': 90}",0.9642857142857143,0.9596825396825397,0.9607812003810734,0.9603048586852969,0.963315864697475,0.9616740227987172,0.0017975418129295806,21
308.8306706428528,32.11311031673025,0.5895211696624756,0.02377323953906163,90000,50,"{'C': 90000, 'gamma': 50}",0.9650793650793651,0.963015873015873,0.9631629088599556,0.9634804699904732,0.9649039225027791,0.9639284920458514,0.0008827061868457795,7
354.27189626693723,10.924116384460064,0.608772611618042,0.004351676809970267,90000,60,"{'C': 90000, 'gamma': 60}",0.9665079365079365,0.9622222222222222,0.9599872975547793,0.9641155922515084,0.9656979514054311,0.9637062204299368,0.0023671384274690046,10
396.06778650283815,27.002541826687384,0.6526547908782959,0.015185880748226735,90000,70,"{'C': 90000, 'gamma': 70}",0.9663492063492064,0.9601587301587302,0.9604636392505558,0.9614163226421086,0.9644275051611879,0.9625631092623758,0.002421465628673583,16
452.93318424224856,53.15543539437963,0.702521562576294,0.01913841810547739,90000,80,"{'C': 90000, 'gamma': 80}",0.9639682539682539,0.959047619047619,0.9615751032073674,0.9601460781200382,0.9626806415753534,0.9614835042707903,0.001751565619337523,22
435.26850390434265,74.32208650907441,0.5485337734222412,0.13046278046165735,90000,90,"{'C': 90000, 'gamma': 90}",0.9650793650793651,0.9585714285714285,0.9601460781200382,0.9599872975547793,0.9631570589169446,0.961388245006827,0.002374734528734349,25
