mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
210.95874710083007,17.29204166707814,0.6315119743347168,0.02366360499891636,50000,50,"{'C': 50000, 'gamma': 50}",0.966984126984127,0.9644444444444444,0.9634804699904732,0.9642743728167672,0.9647451167222487,0.9647858254215222,0.0011761952966705892,1
237.4699306488037,10.905871080091131,0.6614315986633301,0.03395299165410843,50000,60,"{'C': 50000, 'gamma': 60}",0.9665079365079365,0.9619047619047619,0.9626865671641791,0.9637980311209908,0.9647451167222487,0.9639284920458514,0.0016110469884607075,7
260.19141097068785,9.703615688295903,0.6789849281311036,0.006320336777038815,50000,70,"{'C': 50000, 'gamma': 70}",0.9665079365079365,0.9614285714285714,0.9607812003810734,0.9626865671641791,0.9650627282833095,0.9632934302860954,0.002173586179504512,12
304.9697329044342,10.62372878086894,0.7136922359466553,0.012765941773453391,50000,80,"{'C': 50000, 'gamma': 80}",0.9652380952380952,0.9603174603174603,0.9617338837726263,0.9637980311209908,0.964109893600127,0.9630394055821929,0.001770382996306046,14
333.21547441482545,30.148814708327823,0.7567151069641114,0.02979283053320569,50000,90,"{'C': 50000, 'gamma': 90}",0.9636507936507936,0.9598412698412698,0.9604636392505558,0.9614163226421086,0.9631570589169446,0.961705775886705,0.0014827885567254202,20
239.52795305252076,22.245679738289624,0.6095700740814209,0.018459369267931028,60000,50,"{'C': 60000, 'gamma': 50}",0.9657142857142857,0.9633333333333334,0.9639568116862496,0.963639250555732,0.9649039225027791,0.9643095291017051,0.0008779284452869623,2
273.5048535346985,13.934690524398693,0.6378947734832764,0.012077095037292051,60000,60,"{'C': 60000, 'gamma': 60}",0.9671428571428572,0.9622222222222222,0.9617338837726263,0.9641155922515084,0.9652215340638399,0.9640872574857905,0.0019820592214437106,4
311.0073362350464,25.769020285704183,0.6815780639648438,0.020639083021383443,60000,70,"{'C': 60000, 'gamma': 70}",0.9657142857142857,0.9612698412698413,0.9612575420768498,0.963639250555732,0.9652215340638399,0.9634204426380466,0.0018898503480526455,11
345.20616912841797,17.93136527365964,0.7003278732299805,0.0019338115812767669,60000,80,"{'C': 60000, 'gamma': 80}",0.9634920634920635,0.9596825396825397,0.9617338837726263,0.9625277865989202,0.9644275051611879,0.9623725907344489,0.0016214236173751537,17
373.17899146080015,18.854133186876386,0.7370294094085693,0.018996538706457438,60000,90,"{'C': 60000, 'gamma': 90}",0.9638095238095238,0.959047619047619,0.9612575420768498,0.9603048586852969,0.9629982531364142,0.9614835042707903,0.0017366884319851815,22
261.4342636108398,23.518173895258958,0.6097699642181397,0.025965937055977724,70000,50,"{'C': 70000, 'gamma': 50}",0.9655555555555555,0.9628571428571429,0.9630041282946967,0.9639568116862496,0.9649039225027791,0.9640555043978026,0.0010508757649012636,5
298.6355784893036,30.420644699798427,0.6596363544464111,0.07318443942780803,70000,60,"{'C': 70000, 'gamma': 60}",0.9658730158730159,0.9617460317460318,0.9614163226421086,0.9641155922515084,0.9664919803080833,0.9639284920458514,0.002071782076876955,7
342.4630867958069,11.77145614084402,0.6654674530029296,0.017484653102303366,70000,70,"{'C': 70000, 'gamma': 70}",0.9647619047619047,0.9607936507936508,0.9612575420768498,0.9639568116862496,0.9647451167222487,0.9631029117581685,0.0017272540993297563,13
384.02416014671326,35.278390830574516,0.698731517791748,0.01316446174494168,70000,80,"{'C': 70000, 'gamma': 80}",0.9633333333333334,0.9603174603174603,0.9606224198158145,0.9603048586852969,0.9644275051611879,0.9618010351506684,0.0017363103423129844,18
