mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17.79323830604553,1.051267576730123,1.5167431831359863,0.13411150815165415,100.0,10.0,"{'C': 100.0, 'gamma': 10.0}",0.9046031746031746,0.8904761904761904,0.889171165449349,0.900127024452207,0.8921708750198507,0.895310068904201,0.0060081280731843255,12
21.79684762954712,0.6694577343837306,2.039746904373169,0.5966990214561722,100.0,31.622776601683793,"{'C': 100.0, 'gamma': 31.622776601683793}",0.9246031746031746,0.9126984126984127,0.9090187361067006,0.9188631311527469,0.913133238049865,0.915663798304385,0.005468366970198616,10
26.757767105102538,1.2963893167467382,2.0572909355163573,0.2947718536133533,100.0,100.0,"{'C': 100.0, 'gamma': 100.0}",0.9366666666666666,0.9258730158730158,0.9209272785011114,0.9248967926325817,0.9190090519294902,0.9254755024926175,0.006135986478380557,8
18.025797033309935,0.7459627096890971,1.5825528621673584,0.05085784858829079,215.44346900318845,10.0,"{'C': 215.44346900318845, 'gamma': 10.0}",0.9173015873015873,0.9087301587301587,0.906954588758336,0.9147348364560178,0.9101159282197872,0.911567649953958,0.0038562643390648737,11
20.382729387283327,0.5130730230754438,1.5584346771240234,0.10349948314151082,215.44346900318845,31.622776601683793,"{'C': 215.44346900318845, 'gamma': 31.622776601683793}",0.933968253968254,0.9258730158730158,0.9225150841536995,0.9274372816767228,0.925837700492298,0.9271266630679834,0.0037792026158454195,7
26.987042713165284,0.9827029474617553,1.6035893917083741,0.03481108432848411,215.44346900318845,100.0,"{'C': 215.44346900318845, 'gamma': 100.0}",0.9466666666666667,0.9353968253968254,0.9333121625912988,0.9353763099396634,0.9347308242020009,0.9370971326961547,0.004845030424011469,5
15.27625241279602,0.3796339370806403,1.3726897239685059,0.03983345187957805,464.15888336127773,10.0,"{'C': 464.15888336127773, 'gamma': 10.0}",0.9285714285714286,0.9238095238095239,0.9226738647189584,0.9253731343283582,0.925837700492298,0.9252532308767027,0.0020052942951197445,9
19.334278678894044,0.43109280360797736,1.419403886795044,0.3330897832026202,464.15888336127773,31.622776601683793,"{'C': 464.15888336127773, 'gamma': 31.622776601683793}",0.942063492063492,0.9376190476190476,0.9353763099396634,0.9353763099396634,0.9379069398126092,0.9376686882799352,0.0024448641339909873,4
36.20918455123901,1.2413146363458702,1.5468647480010986,0.17857458679214797,464.15888336127773,100.0,"{'C': 464.15888336127773, 'gamma': 100.0}",0.9511111111111111,0.946031746031746,0.9455382661162274,0.9447443632899333,0.9458472288391297,0.9466548121804845,0.0022715351944426043,3
16.94090666770935,1.8792741229207288,1.137562131881714,0.05211017486360022,1000.0,10.0,"{'C': 1000.0, 'gamma': 10.0}",0.9380952380952381,0.9342857142857143,0.9329946014607812,0.9352175293744046,0.9337779895188185,0.9348744165370082,0.0017649688267940297,6
23.034132099151613,1.475984639749634,1.2193868160247803,0.1919419334798611,1000.0,31.622776601683793,"{'C': 1000.0, 'gamma': 31.622776601683793}",0.9492063492063492,0.9484126984126984,0.9455382661162274,0.9453794855509685,0.9479117039860251,0.9472898739402407,0.0015516673011640291,2
42.436122035980226,5.058573351064664,1.3358150005340577,0.3208411492352735,1000.0,100.0,"{'C': 1000.0, 'gamma': 100.0}",0.9565079365079365,0.9520634920634921,0.9530009526833916,0.9525246109876151,0.9514054311576942,0.9531006890420093,0.0017834170776836159,1
