mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44.16286401748657,5.0456690899215015,1.7918454647064208,0.3709279458247307,1000,100,"{'C': 1000, 'gamma': 100}",0.9565079365079365,0.9520634920634921,0.9530009526833916,0.9525246109876151,0.9514054311576942,0.9531006890420093,0.0017834170776836159,3
167.76445622444152,11.914770848387752,4.494490146636963,0.3507942957482589,1000,1000,"{'C': 1000, 'gamma': 1000}",0.9458730158730159,0.9461904761904761,0.9418863131152747,0.94252143537631,0.9460060346196602,0.9444956021973137,0.0018844870598101666,6
341.9019447803497,24.66630271116762,11.838998985290527,0.23859235194021794,1000,10000,"{'C': 1000, 'gamma': 10000}",0.8442857142857143,0.8415873015873016,0.8466179739599873,0.8335979676087647,0.8424646657138319,0.841710856380783,0.004406924634872031,7
126.29093732833863,1.4964603054589911,0.9016386985778808,0.011871563959390125,10000,100,"{'C': 10000, 'gamma': 100}",0.963015873015873,0.9614285714285714,0.961892664337885,0.9606224198158145,0.9634746704780054,0.9620868129425587,0.0010396456090183705,1
599.4421226978302,49.528127031086086,4.34917197227478,0.2682472099793798,10000,1000,"{'C': 10000, 'gamma': 1000}",0.9512698412698413,0.9493650793650794,0.9418863131152747,0.9449031438551921,0.9461648404001906,0.9467183183564601,0.0033068027326169478,4
687.4513818740845,38.96490024601375,13.167610216140748,0.8350597126505357,10000,10000,"{'C': 10000, 'gamma': 10000}",0.8168253968253968,0.8265079365079365,0.825658939345824,0.8175611305176247,0.8240431951723043,0.8221192010923062,0.004106075177764608,8
150.97862701416017,3.7878474265294058,1.087492084503174,0.10682452459064794,10000,100,"{'C': 10000, 'gamma': 100}",0.963015873015873,0.9614285714285714,0.961892664337885,0.9606224198158145,0.9634746704780054,0.9620868129425587,0.0010396456090183705,1
569.1935893058777,46.23276587271286,3.8366251468658445,0.058761993980100055,10000,1000,"{'C': 10000, 'gamma': 1000}",0.9512698412698413,0.9493650793650794,0.9418863131152747,0.9449031438551921,0.9461648404001906,0.9467183183564601,0.0033068027326169478,4
550.334570980072,102.47600249862167,9.512829399108886,2.3010081817689265,10000,10000,"{'C': 10000, 'gamma': 10000}",0.8168253968253968,0.8265079365079365,0.825658939345824,0.8175611305176247,0.8240431951723043,0.8221192010923062,0.004106075177764608,8
